id,created_at,text,user,retweet_count
1135507768956162048,Mon Jun 03 11:25:23 +0000 2019,"The Queen officially welcomes President Trump to Buckingham Palace, with the sound of a gun salute in the backgroun… https://t.co/unbZ75R9N2",BBCBreaking,1068
1135497160286511104,Mon Jun 03 10:43:14 +0000 2019,"Rescuers hunting missing climbers in Indian Himalayas say they saw five bodies from the air, believed to be dead https://t.co/9zv20NVDpl",BBCBreaking,203
1135459215189741568,Mon Jun 03 08:12:27 +0000 2019,"US President Donald Trump arrives in UK for three-day state visit 

Follow latest updates: https://t.co/4zaqzAiNZz… https://t.co/AQmpFFdrfJ",BBCBreaking,561
1134926986541981696,Sat Jun 01 20:57:34 +0000 2019,"RT @BBCSport: LIVERPOOL ARE CHAMPIONS LEAGUE WINNERS! 

🏆🏆🏆🏆🏆🏆

#UCLfinal https://t.co/nkycOivUrg https://t.co/0E2V394F7x",BBCBreaking,2725
1134781532994965504,Sat Jun 01 11:19:35 +0000 2019,"RT @BBCSport: Former Arsenal winger Jose Antonio Reyes has died in a car accident aged 35, Spanish club Seville have announced.

More ➡ htt…",BBCBreaking,2609
1134595619291652097,Fri May 31 23:00:50 +0000 2019,At least 11 killed in mass shooting in US state of Virginia https://t.co/zdk66YhkgZ,BBCBreaking,1138
1134511549857636352,Fri May 31 17:26:46 +0000 2019,British retail tycoon Sir Philip Green charged in the US with four counts of misdemeanour assault https://t.co/NWqxwpTeB2,BBCBreaking,375
1133846795367387137,Wed May 29 21:25:16 +0000 2019,Israel to hold fresh elections after Benjamin Netanyahu fails to form coalition https://t.co/8TVfPsZ0Oy,BBCBreaking,498
1133838191977488390,Wed May 29 20:51:05 +0000 2019,"RT @BBCSport: FT: Chelsea 4-1 Arsenal 

CHELSEA WIN THE EUROPA LEAGUE! 

Giroud, Pedro and a double from Hazard on their crowning night in…",BBCBreaking,1244
1133039609527623682,Mon May 27 15:57:48 +0000 2019,"RT @BBCSport: FT: Aston Villa 2-1 Derby County 

ASTON VILLA ARE PREMIER LEAGUE. 

Anwar El Ghazi and John McGinn with the goals that see #…",BBCBreaking,376
1133018130819813376,Mon May 27 14:32:27 +0000 2019,Austrian Chancellor Sebastian Kurz loses vote of confidence in parliament after coalition collapse over secret video https://t.co/xDDO9Abcn9,BBCBreaking,321
1132760589938372608,Sun May 26 21:29:04 +0000 2019,EU elections: Major losses expected for mainstream parties - follow the results live https://t.co/v4wgk88mFv,BBCBreaking,374
1132753388159078400,Sun May 26 21:00:27 +0000 2019,"Watch live and follow all the EU election results as they come in across the UK and Europe

Latest updates:… https://t.co/63nDYhcHpW",BBCBreaking,186
1131899931881562112,Fri May 24 12:29:08 +0000 2019,Ten workers arrested over alleged abuse of patients at Whorlton Hall hospital following BBC Panorama investigation https://t.co/c0xWzgQqjs,BBCBreaking,461
1131898276243025921,Fri May 24 12:22:33 +0000 2019,"Two boys - aged 14 and 13 - die after incident at house in Sheffield, with four other children still in hospital https://t.co/4i7MSzGWWK",BBCBreaking,537
1131851396389724162,Fri May 24 09:16:16 +0000 2019,"A tearful Theresa May says serving as prime minister has been ""the honour of my life"", saying she is proud to have… https://t.co/y2VjDM7tUq",BBCBreaking,2722
1131850139218395136,Fri May 24 09:11:16 +0000 2019,"""It is in the best interests of the country for a new prime minister to lead""

UK Prime Minister Theresa May announ… https://t.co/ZUwXQVT2G4",BBCBreaking,3415
1131849403608780800,Fri May 24 09:08:21 +0000 2019,"Theresa May to quit as Conservative leader on 7 June, paving way for contest to decide new UK prime minister https://t.co/ecGT8c1zqF",BBCBreaking,5893
1131654663487533057,Thu May 23 20:14:31 +0000 2019,"US unveils 17 new charges against Wikileaks co-founder Julian Assange, who is facing extradition from the UK https://t.co/spFdt8BHET",BBCBreaking,390
1131506773561630721,Thu May 23 10:26:51 +0000 2019,"Hindu nationalist Narendra Modi scores resounding victory in Indian general election, securing second five-year term https://t.co/LAvEhJJn4o",BBCBreaking,427
1131494711603138560,Thu May 23 09:38:56 +0000 2019,"The Tiger Who Came To Tea author Judith Kerr has died at the age of 95, her publisher HarperCollins says https://t.co/Q0bM10r7Hg",BBCBreaking,644
1131273132852109313,Wed May 22 18:58:27 +0000 2019,"""I no longer believe that our approach will deliver on the referendum result""

Andrea Leadsom's letter to the UK pr… https://t.co/KBoYOqZkjN",BBCBreaking,401
1131268707039227904,Wed May 22 18:40:52 +0000 2019,Andrea Leadsom resigns cabinet role saying she no longer believes government's approach will deliver Brexit https://t.co/MairqjlJqV,BBCBreaking,910
1131228908555264000,Wed May 22 16:02:43 +0000 2019,Abuse and mistreatment of vulnerable adults at Whorlton Hall specialist hospital in County Durham uncovered by BBC https://t.co/C9CCCuVcp7,BBCBreaking,354
