id,created_at,text,user,retweet_count
1112550036125159424,Mon Apr 01 02:59:33 +0000 2019,"Japan unveils the name of its new imperial era, set to begin on 1 May, as ""Reiwa"" - signifying order and harmony https://t.co/cAAz9wH6h5",BBCBreaking,1916
1112400581728047111,Sun Mar 31 17:05:40 +0000 2019,Life imitates art? Comedian who played TV president wins first round of Ukraine presidential election - exit poll https://t.co/L2MArqud2w,BBCBreaking,497
1111642910766915597,Fri Mar 29 14:54:57 +0000 2019,"""The House has been clear, this deal now has to change. If the prime minister can't accept that then she must go, n… https://t.co/jkoZHhB6hZ",BBCBreaking,402
1111641803080511488,Fri Mar 29 14:50:33 +0000 2019,"PM Theresa May says ""we are reaching the limits of this process in this House"", saying UK will now probably have to… https://t.co/PppQDnE7AY",BBCBreaking,724
1111639849394753536,Fri Mar 29 14:42:48 +0000 2019,"UK MPs reject PM Theresa May’s EU withdrawal agreement by 344 votes to 286, throwing #Brexit plans into further dou… https://t.co/StT7xA27VK",BBCBreaking,1803
1111312786703958016,Thu Mar 28 17:03:10 +0000 2019,Commons vote on EU withdrawal agreement planned for Friday in fresh bid to break Brexit deadlock https://t.co/EI0IvZKE40,BBCBreaking,334
1111022214101585920,Wed Mar 27 21:48:32 +0000 2019,#Brexit deadlock: None of UK MPs' proposed options secures clear backing in Commons vote https://t.co/wSnjCxuBYL,BBCBreaking,993
1110962467000209409,Wed Mar 27 17:51:07 +0000 2019,“I am prepared to leave this job earlier than I intended in order to do what is right for our country and our party… https://t.co/Fatp2WjqG8,BBCBreaking,938
1110958427692564481,Wed Mar 27 17:35:04 +0000 2019,"Theresa May tells Conservative MPs she will not remain as UK PM for the next phase of #Brexit negotiations

Live up… https://t.co/zdFolpfUgh",BBCBreaking,2789
1110563336624787457,Tue Mar 26 15:25:07 +0000 2019,Prosecutors drop charges against actor Jussie Smollett which alleged he staged a homophobic attack - US media https://t.co/GXNEmP6bQz,BBCBreaking,336
1110552633784315904,Tue Mar 26 14:42:35 +0000 2019,"Algeria army chief calls for President Bouteflika to be declared unfit to rule, in TV address after weeks of unrest https://t.co/rWvWymVSBz",BBCBreaking,560
1110479332571578369,Tue Mar 26 09:51:19 +0000 2019,"Speedboat killer Jack Shepherd, found guilty in his absence after fleeing UK, agrees to be extradited from Georgia https://t.co/Gwda7cgnxn",BBCBreaking,114
1110304784840564737,Mon Mar 25 22:17:43 +0000 2019,UK MPs vote to take control of Commons business in unprecedented move to try to find majority for any #Brexit option https://t.co/Q13HcCrp9w,BBCBreaking,1062
1109910409904091138,Sun Mar 24 20:10:37 +0000 2019,@BBCPolitics Read US Attorney General William Barr's 4-page letter summarising the findings from the Special Counse… https://t.co/9EcDrxTtO0,BBCBreaking,117
1109906230254989315,Sun Mar 24 19:54:01 +0000 2019,"President Trump's campaign ""did not conspire"" with Russia during 2016 election, Robert Mueller's report says https://t.co/BCbfAPxduU",BBCBreaking,1487
1109343748436185088,Sat Mar 23 06:38:54 +0000 2019,"Syrian Democratic Forces announce defeat of Islamic State group, as final territory falls in Syria https://t.co/Pc9CqsiO18",BBCBreaking,1154
1109208747119988736,Fri Mar 22 21:42:28 +0000 2019,"In a statement, the White House says it has not ""received or been briefed on the Special Counsel's report"" 

For mo… https://t.co/3ADfpWyMUQ",BBCBreaking,158
1109204863118987265,Fri Mar 22 21:27:02 +0000 2019,This is the letter the US Attorney General sent to senior figures in Congress informing them that the Mueller repor… https://t.co/I7bjS8mIqx,BBCBreaking,417
1109202068168941568,Fri Mar 22 21:15:55 +0000 2019,Special Counsel Robert Mueller submits report on alleged Trump-Russia collusion - US media https://t.co/A79Ze5ifqV,BBCBreaking,824
