,tweets,clusterID
0,"RT @BBCNews: President Trump lays a wreath at the tomb of the Unknown Warrior in Westminster Abbey

#TrumpUKVisit latest updates: https://t…",0
1,"RT @BBCNews: President Trump inspects the guard with members of the Royal Family at Buckingham Palace

#TrumpUKVisit latest updates: https:…",0
2,"RT @BBCBreaking: The Queen officially welcomes President Trump to Buckingham Palace, with the sound of a gun salute in the background

#Tru…",0
3,"This is the moment @realDonaldTrump and @FLOTUS arrived in the UK for a three-day state visit ✈️🇺🇸

#TrumpUKVisit… https://t.co/9xWNidfpMC",0
4,".@realDonaldTrump and Prince Charles inspect the guard of honour on the Buckingham Palace lawn. 

#TrumpUKVisit

He… https://t.co/jxklYqeoFS",0
5,President Donald Trump is arriving at Buckingham Palace on the first day of his #statevisit to the UK #TrumpUKVisit https://t.co/nmmplz7wvt,0
6,".@SadiqKhan tells Sky News on #Ridge that the UK shouldn't ""roll out the red carpet"" for #TrumpUKVisit.… https://t.co/T1WA201uch",0
7,"""It is in the best interests of the country for a new prime minister to lead""

UK Prime Minister Theresa May announ… https://t.co/ZUwXQVT2G4",1
8,"Pedro Sánchez, Spain's prime minister, has emerged as the unlikely standard-bearer for a Socialist movement that ha… https://t.co/uwQfBzzTpd",1
9,"RT @BBCPolitics: ""I have done my best... but it is now clear to me that it is in the best interests of the country for a new prime minister…",1
10,"RT @BBCBreaking: A tearful Theresa May says serving as prime minister has been ""the honour of my life"", saying she is proud to have been th…",1
11,"European Election 2019: Results in maps and charts 

https://t.co/VAHUK2nHSO #EP2019",2
12,"European elections 2019: Major centrist blocs braced for losses 

https://t.co/wZlfaemcOJ #EuropeanElectionResults #EP2019",2
13,"European elections 2019: Investigating false and misleading videos

https://t.co/IMItOkyrmC #EP2019",2
14,RT @BBCBreaking: EU elections: Major losses expected for mainstream parties - follow the results live https://t.co/v4wgk88mFv,2
15,#EuropeanElectionResults: What we know so far https://t.co/HqTbXSkQiB,2
16,"#EuropeanElectionResults

Results as they come in - and analysis of what happens next 

https://t.co/UHnI07NkW3 https://t.co/W2eObZQg0b",2
17,"RT @BBCBreaking: Watch live and follow all the EU election results as they come in across the UK and Europe

Latest updates: https://t.co/L…",2
18,"RT @BBCSport: LIVERPOOL ARE CHAMPIONS LEAGUE WINNERS! 

🏆🏆🏆🏆🏆🏆

#UCLfinal https://t.co/nkycOivUrg https://t.co/0E2V394F7x",4
19,"RT @BBCSport: LIVERPOOL ARE CHAMPIONS LEAGUE WINNERS! 

🏆🏆🏆🏆🏆🏆

#UCLfinal https://t.co/nkycOivUrg https://t.co/0E2V394F7x",4
20,"RT @ReutersSports: Salah, Origi goals bring Liverpool Champions League redemption https://t.co/T1EZ43qyV7 https://t.co/x5dF7h9nvQ",4
21,.@LFC have arrived back home to celebrate after their Champions League 2-0 victory against @SpursOfficial #UCLfinal https://t.co/ZCMFKtv70N,4
22,"RT @BBCSport: Lionel Messi has opened up on the pain Liverpool caused him and Barcelona - and how they must go about easing it. 

Read: htt…",4
23,"Liverpool have won the #ChampionsLeague2019 after beating Tottenham 2-0 

#UCLFinal 
https://t.co/ZXw2QjPoBi",4
24,RT @SkyNewsBreak: Liverpool have won the UEFA Champions League after beating Tottenham Hotspur 2-0 in the final in Madrid,4
25,"Tickets for tomorrow's #UCLfinal are being offered to @SpursOfficial and @LFC fans for up to €6,000 https://t.co/sJfTGxVJCt",4
26,RT @BBCBreaking: Austrian Chancellor Sebastian Kurz loses vote of confidence in parliament after coalition collapse over secret video https…,5
27,"RT @BBCSport: FT: Man City 6-0 Watford

Stunning by Manchester City.

They have won the FA Cup and completed the domestic treble.

You have…",6
28,"RT @BBCSport: 🔵 MAN CITY ARE CHAMPIONS 🔵

The first Premier League side to win back-to-back titles since 2009.

What a team. What a season…",6
29,"RT @BBCSport: FT: Chelsea 4-1 Arsenal 

CHELSEA WIN THE EUROPA LEAGUE! 

Giroud, Pedro and a double from Hazard on their crowning night in…",8
30,"RT @BBCSport: FT: Chelsea 4-1 Arsenal 

CHELSEA WIN THE EUROPA LEAGUE! 

Giroud, Pedro and a double from Hazard on their crowning night in…",8
31,"RT @BBCSport: GOAL!

Eden Hazard scores for Chelsea! 

Chelsea 4-3 Eintracht Frankfurt

CHELSEA ARE GOING TO THE FINAL!

Live: https://t.co…",8
32,"RT @BBCSport: FULL TIME: 

Valencia 2-4 Arsenal. (Agg 3-7). 
Aubameyang's hat-trick puts Arsenal in the final. 

Chelsea 1-1 Frankfurt. (Ag…",8
33,"RT @BBCSport: HT: Chelsea 0-0 Arsenal 

It's goalless at the break in Azerbaijan.

#UELFinal #CHEARS #bbcfootball https://t.co/fmNDf5kouh h…",8
34,"Harry and Meghan name their baby son Archie Harrison Mountbatten-Windsor

https://t.co/RGfVNp0RLf #BabySussex https://t.co/wZusAzWfOj",9
35,"#Brexit talks between Labour and the Conservatives end without agreement, with Jeremy Corbyn saying negotiations ha… https://t.co/KMtpdlDWGd",10
36,UK PM Theresa May writes to EU requesting #Brexit extension until 30 June 2019 - and says leaving with a deal is th… https://t.co/pOXlNaHlrv,10
37,"Jeremy Corbyn says he is ""very happy to meet"" UK PM Theresa May for #Brexit talks, but adds Labour's proposals to ""… https://t.co/Silp6yPFO8",10
38,"""This debate, this division cannot drag on much longer... It is doing damage to our politics"" - UK PM Theresa May c… https://t.co/Tc4Ol5aEnl",10
39,"For a second time, none of MPs' proposed #Brexit options wins clear backing in Commons #indicativevotes2

Reaction… https://t.co/453TDekp8K",10
40,"UK MPs reject PM Theresa May’s EU withdrawal agreement by 344 votes to 286, throwing #Brexit plans into further dou… https://t.co/StT7xA27VK",10
41,#Brexit deadlock: None of UK MPs' proposed options secures clear backing in Commons vote https://t.co/wSnjCxuBYL,10
42,"RT @BBCNews: @BBCBreaking ""I do not believe that we should be revoking Article 50""

UK PM Theresa May speaking after the EU agrees a plan t…",10
43,"RT @BBCPolitics: MPs reject amendment to take control of #Brexit process and force a series of indicative votes on the way forward, by 314…",10
44,"UK PM Theresa May says #Brexit options ""are the same as they always have been"", warning ""no Brexit at all"" would da… https://t.co/MTHUEKZdz2",10
45,UK MPs reject a no-deal #Brexit by 312 to 308 in a non-binding vote https://t.co/qZADz7lP7Y https://t.co/nyyjgJ38k0,10
46,"Labour's Jeremy Corbyn says UK PM's #Brexit deal is ""clearly dead"", saying Theresa May has ""run down the clock, and… https://t.co/nJLyR0OR6L",10
47,"UK PM Theresa May says MPs now face ""an unenviable choice"" of what to do next, stressing that ""voting against the d… https://t.co/BbQSeMfrok",10
48,"UK MPs vote against Theresa May’s revised EU withdrawal deal by 391 to 242, throwing #Brexit plans into confusion… https://t.co/GMiH9AKsVX",10
49,"Attorney General Geoffrey Cox says ""legal risk remains unchanged"" in updated #Brexit deal and UK would have no lega… https://t.co/krm5viJkIU",10
50,"Labour says it is prepared to back another EU referendum to prevent a ""damaging Tory #Brexit"" 

https://t.co/vuK6yy3K7y",10
51,"UK MPs back Theresa May's bid to change #Brexit deal by requiring alternatives to Irish border ""backstop"" plan… https://t.co/GJvop6xDLP",10
52,"UK MPs back alternative move to stop no-deal #Brexit, in non-binding vote #WithdrawalAgreement https://t.co/TdJTR9KtkQ",10
53,"Labour leader Jeremy Corbyn tables no confidence motion in Theresa May's government after #BrexitVote defeat

https://t.co/yP9wknEBDq",10
54,"UK PM Theresa May invites leaders of other parties to meet with her to discuss #Brexit, starting tonight, after gov… https://t.co/jlEWaV7wXf",10
55,UK PM Theresa May loses MPs’ #BrexitVote on her deal by 432 votes to 202 - the biggest government defeat since 1924… https://t.co/cCjqtLlpMc,10
56,"UK Prime Minister Theresa May says she will ""get on with the job of delivering #Brexit"" after surviving a… https://t.co/FGyOhOKwiJ",10
