clusterno,tweetd
0,1135507768956162048
0,1135459215189741568
0,1134595619291652097
0,1135551615547715584
0,1135518143852535812
0,1135508121110102017
0,1134118723164549123
0,1134260734202994690
0,1135551150424514562
0,1125395508942528513
0,1135546685071994883
0,1135513061702475776
0,1135550654011846656
0,1135548366019014656
0,1135506622170767361
0,1134244792227905537
0,1135498805753724928
0,1135494197094621184
0,1135535353807351808
0,1135482765124747264
0,1135418587991171072
1,1131851396389724162
1,1131850139218395136
1,1131849403608780800
1,1133991454290956293
1,1131872960787177472
1,1131851459425914881
2,1132760589938372608
2,1132753388159078400
2,1131273132852109313
2,1132887711566704641
2,1132802565412929536
2,1132795732967198720
2,1099324631041933314
2,1135529300185292802
2,1132764073429524480
2,1132771317483220992
2,1132756962314248193
2,1132753581713580032
3,1131126345054994432
3,1130847449558339586
3,1130785504717398017
4,1134926986541981696
4,1130698828812890112
4,1130654047135064071
4,1135047350597115904
4,1135037303003451392
4,1134927015826599936
4,1135193774697734145
4,1135158188507041793
4,1135141513690853376
4,1132030258906112001
4,1134933647595905024
4,1134928050959933441
4,1135417113777254400
4,1135324343163138049
4,1134515358205972480
5,1133018130819813376
5,1129810053479976960
5,1129696910732865536
5,1133018208255053824
5,1132969668044574720
5,1131709564632670208
6,1129808025949220865
6,1129806487574990855
6,1127601826545721344
7,1127592100781076483
7,1127203450507468804
7,1126807188561854465
8,1133838191977488390
8,1126604868754509824
8,1126592123325833216
8,1133838296457601030
8,1133822414125715459
8,1060321069347807233
9,1126150656836947973
9,1126093099569008640
9,1126089599233744896
10,1130859748281266176
10,1129323253472931840
10,1125384971550711810
10,1116128942040264706
10,1114076872688664576
10,1114064671328342016
10,1113491070443302914
10,1113159771278987266
10,1113128703284965377
10,1113568811180068870
10,1113128300044529664
10,1112969633517187072
10,1112823818911969281
10,1111639849394753536
10,1111312786703958016
10,1111022214101585920
10,1110958427692564481
10,1110304784840564737
10,1116135496093261825
10,1108866722105384960
10,1108861179806527488
10,1108871979828948992
10,1108403869904760833
10,1108257496534261760
10,1106262149930934277
10,1106259752248635398
10,1106253253992464385
10,1105922615481384961
10,1105911124493504512
10,1105556167688892426
10,1105927405586341891
10,1105921311346438144
10,1105555569392402432
10,1108470618465419264
10,1105549751884365824
10,1105428650202140672
10,1105229452215283714
10,1102673086858567681
10,1100373682600460288
10,1105427416468652033
10,1101061086990815232
10,1100092544480935941
10,1090349697884213248
10,1090346048168624132
10,1090338115976396800
10,1096103055219716098
10,1090352966413021184
10,1090233065992085506
10,1088885936581238784
10,1088882524967841793
10,1088879270158462976
10,1095139348889198592
10,1088298911712923654
10,1086734861384278017
10,1102606292751912966
10,1088138331114950658
10,1086346943406723073
10,1101425379733057536
10,1096496410646794241
10,1085622347191734274
10,1085617179725348864
10,1085265874603241472
10,1085263788490833920
10,1085620018417750022
10,1085260422935207937
10,1083007377769709568
10,1112550036125159424
10,1110962467000209409
10,1072969994978385921
10,1072962559677005832
10,1072959907958276096
10,1072777743849275392
10,1082713162296766466
10,1072776760297746432
10,1072767288175198209
10,1083103800074878977
10,1082821916463939584
10,1135545429368741890
10,1085959968774332416
10,1135514470678171648
10,1135508936323489793
10,1072758722315862021
10,1135154998235582469
10,1134023229545287680
10,1133895057617182725
10,1133829132524167168
10,1133795184804814848
10,1135545420778786816
10,1135532722640818176
10,1135529422839255042
10,1135542645319753729
10,1135534385300758528
10,1135488988880494598
10,1101428619182817281
10,1135504116304605185
10,1135456128052031489
10,1135525583226572800
10,1135477672962908160
10,1135428404403212288
10,1135479270191566848
10,1135423225213722625
10,1135374556108115968
10,1074047012918706176
10,1135301636199460864
10,1135250978788257792
10,1135285194402009088
10,1135262461236584448
10,1135236175055245312
10,1131268707039227904
10,1135281424821628928
10,1135232347316596736
10,1135535607105675264
10,1135358333886619649
10,1135208468766502912
10,1135178993198686209
10,1135168151048589313
10,1135124320974512128
10,1135242388937629696
10,1135175707133435904
10,1135121619331047424
10,1135436233189011456
10,1135122812941885440
10,1135117846109917184
10,1135174414239248384
10,1135112817152073728
10,1135107734251212800
10,1135105331405762560
10,1135083796091592704
10,1135082613306249216
10,1135306712162979840
10,1135134178004148225
10,1135081348379619328
10,1107995213446946816
10,1135073771612774401
10,1135060072193806336
10,1135075131439689728
10,1135065297340239872
10,1135056279083335680
10,1135053686512766976
10,1135026071865368576
10,1135015931061637120
10,1134746438204895232
10,1135158139911884801
10,396670616696143872
10,1135490533680406528
10,1135462400260526080
10,1135459721849253888
10,1135225821025755136
10,1133825383713988608
10,1134807569627791360
10,1095375830686093312
10,1135019898709692421
10,1134751806624600065
