,cluster no,tweet id,tweet
0,0,0,"Fast bowler Jhye Richardson will return home from #Pakistan tour due to shoulder injury
https://t.co/RfHdYAkd2v"
1,1,1,"#Pakistan 🇵🇰 would use whatever it deemed necessary if it came to legitimate #SelfDefense, says DG ISPR… https://t.co/T8iQtCvfBV"
2,2,2,President @realDonaldTrump didn't conspire with #Russia during 2016 election: #MuellerReport… https://t.co/pxApQjOrOJ
3,3,176,"RT @geonews_sport: Clash of the titans: @TeamQuetta, @PeshawarZalmi meet in #PSLfinal today

#QGvPZ #KhelDeewanoKa #PSLonGeo
  https://t.co…"
4,4,4,Here are @RadioPakistan's #news #headlines of 1500 hours ... for more details visit https://t.co/rzNyQWN8B8 https://t.co/gLItkiZjnF
5,5,15,"Malaysia interested in procuring JF-17 Thunder, anti-tank missiles from Pakistan https://t.co/85AXUvOGOz"
6,6,0,"@RadioPakistan News Headlines of 6 pm. For details, please visit: 
https://t.co/G1ovSEzsRx https://t.co/luo2CQwrG1"
7,7,0,#Turkey to take issue of recognition of #GolanHeights as #Israeli territory by US to #UN https://t.co/Ht9SjleVDY
8,8,2,"In #Afghanistan, two #US service members were killed in an operation today.
https://t.co/XnNoZCLwoR"
9,9,0,President @ArifAlvi and Malaysian Prime Minister @chedetofficial held meeting at President House in Islamabad… https://t.co/P1wlBzPRB4
10,10,3,#NewZealand: #Jumma #prayer was broadcast live on State Radio and Television across the country… https://t.co/zmA2uIFgHP
11,11,0,NA Speaker emphasizes need to inculcate values and culture among young politicians https://t.co/0pA4xSLKdz
12,12,1,Emergency meeting of #OIC FMs being held in Istanbul today to discuss terrorist attacks on 2 #mosques in… https://t.co/TEUfb8qxXX
13,13,2,PM's spokesperson Nadeem Afzal Chan says elimination of corruption top priority of govt https://t.co/G4ECFHduOs
14,14,0,#UN chief @antonioguterres again offers his mediation to play helpful role in lowering #India-#Pakistan tensions https://t.co/vsWSpGDdEE
15,15,0,CM Gilgit Baltistan Hafiz Hafeez ur Rehman says govt utilizing all available resources for uplift of education sect… https://t.co/06X92DbBKw
16,16,2,No such law to send Nawaz Sharif abroad for medical treatment: PM https://t.co/WwKjgDFdSs
17,17,0,"ATC indicted former SSP Malir Rao Anwaar and other co-accused in Naqeebullah murder case
https://t.co/UuuWaerJhT"
18,18,3,Cabinet decision of reimbursing Rs2.5bn to consumers is appreciable: Analysts https://t.co/GBavWvCuU9
19,19,0,"Indian Navy can't match competence, professionalism of Pak Navy in any manner: Article https://t.co/cHejzWRY0C"
20,20,3,"Pakistan-India military tensions continue to escalate as 2 Indian warplanes downed and pilot captured.

Pakistani P… https://t.co/765XmGtt6c"
21,21,1,"Helmand province governor wounded, two others killed in Afghanistan blast https://t.co/8KrFRzF2lU"
22,22,0,Malaysian premier inspects JF-17 Thunder ahead of departure from Pakistan https://t.co/q1kcsjSAVL
23,23,2,RT @geonews_sport: Aaron Finch's scored a century to drive Australia to a convincing eight-wicket win over Pakistan in the first ODI at Sha…
24,24,0,Delegation of Harvard Kennedy School students appreciate PM Imran Khan's vision https://t.co/e1y0iUljm1
25,25,2,Maryam vows to stand outside jail until doctors granted access to Nawaz  https://t.co/geAHI3xFEd
26,26,1,ISPR releases #PakistanDay anthem ‘Pakistan Zindabad’ https://t.co/gA1t8nRnbd
27,27,3,The top judge has summoned the investigation report against Asad Munir from Chairman National Accountability Bureau… https://t.co/beVTPcRaDK
28,28,0,Treason case: SC proposes three options for Musharraf to record statement https://t.co/NEyQiL4E2V
29,29,1,Pakistan among top 20 gainers on World Happiness Index https://t.co/b0qfvx2Pod
30,30,5,"After the success of ‘Black Mirror: Bandersnatch,’ Netflix vows to invest in more interactive content. See more in… https://t.co/dclaAce4uS"
31,31,8,The rise and fall of the Islamic State group: The long and short story https://t.co/0X1vbMP0x1
32,32,6,"The police failed to control the PML-N workers at the gate of Kot Lakhpat Jail, who moved towards the jail, breakin… https://t.co/NIUwtZR94U"
33,33,5,"Three people killed in shooting in Dutch city of Utrecht, mayor says - police hunt suspect

https://t.co/vXELPs9nXY"
34,34,1,"Starvation, unemployment in the drought-hit white desert in Sindh.   https://t.co/q9AGpwj8mD"
35,35,2,Shehbaz Sharif appears before JIT in Model Town probe  https://t.co/IyoWjaKvf0
36,36,0,RT @geonews_sport: .@TeamQuetta to celebrate PSL victory with the people of Quetta: Nadeem Omar https://t.co/AG4VLNdWCF
37,37,0,"More than 200 PPP workers arrested, Qamar Zaman Kaira claims; at least one policeman injured in clashes as Bilawal,… https://t.co/Ogu6DYZ1mo"
38,38,5,A Russian tourist has been arrested for trying to smuggle a drugged orangutan out of the Indonesian resort island o… https://t.co/9UQlhn5DbQ
39,39,53,"President Trump reacts to the Mueller report findings, saying it is a ""complete exoneration"". https://t.co/0YHAocWX77"
40,40,3,"Libby Squire's mum has said she has lost ""one of the most precious things"" and apologised for ""not keeping her safe… https://t.co/a4BQroA4Lo"
41,41,0,"The baby of Shamima Begum - the teenager who fled London to join the Islamic State group - has died, a Syrian Democ… https://t.co/cAYhMcFpY5"
42,42,6,"“It was go, go, go.” Boeing workers describe a hectic race to update the 737 to beat a rival, a project now under s… https://t.co/s8VNR2B4xz"
43,43,1,"The most senior Catholic ever convicted of child sexual abuse, Australian Cardinal George Pell, jailed for 6 years https://t.co/aLwkmftWfj"
44,44,8,#GoldenGlobes2019: Olivia Colman wins Best Actress (In A motion Picture - Comedy or Musical) for The Favourite https://t.co/EXlVpWNxz0
45,45,2,"Labour MP for Dudley North, Ian Austin, says he is quitting the party - but has no plans to join Independent Group https://t.co/jJy7itD2Pk"
46,46,2,"A 16-year-old boy is found guilty of the abduction, rape and murder of six-year-old Alesha MacPhail on Isle of Bute https://t.co/MahhUkMmso"
47,47,5,"UC-Irvine, a No. 13 seed, scored the first big upset of the men's NCAA tournament https://t.co/wtXZISCh4k"
48,48,5,Thailand's pro-army party leads in election; results delayed https://t.co/bbMIBFMgYY https://t.co/zpNvxbGrvp
49,49,16,@SkyNews Leicester City confirms owner’s death in helicopter crash. https://t.co/Xrai9bc5Wr - @NBCSports
50,50,2,Mother of three-year-old girl becomes first person in UK to be found guilty of female genital mutilation https://t.co/FOWnNdtkVf
51,51,11,"Eyewitness: 'Venezuela's second city is still clearing up after an orgy of violence and wanton destruction' 
https://t.co/0dzgXE1T3l"
52,52,6,"Upscale hotel complex in Kenya's capital is under attack, with a blast and heavy gunfire, witnesses and police say,… https://t.co/cSw7ksMcUW"
53,53,2,Scottish First Minister Nicola Sturgeon refers herself to standards panel over handling of Alex Salmond allegations https://t.co/NQZQigQRBf
54,54,1,"Family of London teenager Jayden Moodie say he was not linked to gangs and was ""murdered in cold blood"" https://t.co/P9AVQUNLu2"
