clusterno,topic,tweet
0,Human Interest,RT  President Trump inspects the guard with members of the Royal Family at Buckingham Palace    TrumpUKVisit latest updates https
1,Human Interest,RT  A tearful Theresa May says serving as prime minister has been the honour of my life saying she is proud to have been th
4,Sports,RT  Austrian Chancellor Sebastian Kurz loses vote of confidence in parliament after coalition collapse over secret video https
5,Politics,RT   MAN CITY ARE CHAMPIONS     The first Premier League side to win backtoback titles since     What a team What a season
6,Sports,RT  FT Chelsea  Arsenal     CHELSEA WIN THE EUROPA LEAGUE     Giroud Pedro and a double from Hazard on their crowning night in
8,Sports,RT  A history of the Cricket WorldCup    Read more      GeoNews CWC19   
9,Human Interest,RT  US unveils  new charges against Wikileaks cofounder Julian Assange who is facing extradition from the UK  
14,War_Conflict,RT  WATCH WikiLeaks founder Julian Assange arrested by police in London almost  years after he sought refuge in the Ecuadorian E
18,Disaster_Accident,RT  Rescuers hunting missing climbers in Indian Himalayas say they saw five bodies from the air believed to be dead  
22,Environment,Ten people die in fire at Flamengo football clubs training ground in Rio de Janeiro Brazilian media report  
23,Politics,Man  detained on suspicion of arson in connection with fire at a medical centre in Tamworth Staffs police say  
28,Law_Crime,You can listen to a free preview of  on SiriusXM Ch  in your car online or on the SiriusXM app until Ju  
29,Politics,RT  Claude Puel has left his role as manager of Leicester City following Saturdays  defeat to Crystal Palace in the Premier L
31,Disaster_Accident,International Criminal Court frees Ivory Coast  Gbagbo dropping charges of crimes against humanity charges  
32,Sports,Saudi teenager Rahaf alQunun who fled her family and got stranded in Bangkok has arrived in Canada after being g  
38,Human Interest,Going someplace far away we now know is the biggest single action a private citizen can take to worsen climate ch  
42,Politics,RT  It took a lot to get Mary Mitchell to talk to us Mike ostracized the family and convinced parents that they were trying to ta
48,Entertainment_Culture,RT  For those watching  right now we pubbed a follow up today that the FBI is now investigating TM Landry  a federal
59,Law_Crime,RT  You need just the right circumstances to fossilize a school of fish in place within a rock But that is just what may have
60,Education,RT  The school was famous for viral college acceptance videos One student said the schools leader choked shoved and dragged h
62,Politics,RT  BREAKING Director John Singleton has died at age  his family says  
63,War_Conflict,RT  CHAMPION    Naomi Osaka wins the Australian Open womens singles title for the first time with a dramatic victory over Petra K
65,Law_Crime,Trade tensions led American businesses to shift operations to Mexico from China President Trumps latest tariff th  
67,Sports,Each year in the US about  babies are born with heart defects about  are likely to need surgery or o  
69,Sports,RT  I knew how small our story had become When we were found innocent there was no tsunami of media that followed in the
70,Disaster_Accident,Tiny Love Stories Heyy his message read My heart fluttered One y may have left me upset but the second y  
71,Law_Crime,RT  JUST POSTED The Chao Family is at the center of maritime policy at two of the most powerful nations in the world US amp
75,Disaster_Accident,Liverpool and Tottenham Premier League rivals will play today in the Champions League final in Madrid   
77,Politics,Who threw the first brick at Stonewall Was there even a brick Our video examines the importance of this myth to t  
88,Sports,RT  For years this photographer tried to forget the bloodshed he had seen at Tiananmen Square and locked away his memories i
89,Human Interest,Senator Elizabeth Warren said Friday that if elected president she would seek to pass a law clarifying that the Ju  
91,Politics,RT  When I play with boys some laugh at me  but after the game they sta chanting that I am better than many of them    Soma
94,Politics,As New York prepares to celebrate the th anniversary of the uprising at the Stonewall Inn some in the Midwest sa  
95,Environment,A queer feminist rapper  A percussionist who is the star of every stage hes ever been on  A subway dancer who daz  
96,Environment,The Golden State Warriors swung back in a big way to smother the Toronto Raptors in the second half evening the fi  
97,Law_Crime,RT  Measles was eliminated in the United States in  but federal health officials said the continuing outbreak could make th
99,Business_Finance,RT  When did fish first evolve the ability to swim as a school Its a mystery but fossils like this one and others could prov
103,Human Interest,In Opinion     writes Worry about Facebook sure but not at the risk of overlooking a more clear and prese  
104,Politics,RT  Hello everyone  here to live tweet our way through Game  of the Finals My bosses tell me Im not allowed to disc
105,Entertainment_Culture,RT  THE NEW ENGLAND PATRIOTS ARE SUPER BOWL CHAMPIONS       They make history with a recordequalling sixth SuperBowl win 
106,Politics,RT  The first thing I said after the miscarriage as I buried my face into my husbands chest was We told so many people
107,Business_Finance,The opioid crisis claimed the life of a yearold boy who died from a mixture of fentanyl and heroin His mother w  
108,Health_Medical_Pharma,Robert Mueller making his first public statement in  years said that charging a sitting president was never an o  
110,Entertainment_Culture,Breaking News The special counsel Robert Mueller said his Russia report is my testimony and he would not go beyo  
111,Law_Crime,RT  JUST IN National Security Adviser Bolton announces Defense Cooperation Agreement DCA with UAE has gone into force aime
113,Human Interest,RT  France is outsourcing to Iraq the trials of  citizens who fought with the Islamic State Seven have been tried All wer
115,Politics,US defense chief says no need to restore suspended USSouth Korea military drills    
116,Social Issues,RT  What makes a beach vacation spot perfect The waves The vibe The soft serve In a special print section this Sunday
117,Health_Medical_Pharma,RT  Golf Suspended Haney says he was right about Lee win at US Open    
121,Environment,RT  Blackstone deal stacks GLP closer to China IPO says      
123,Education,RT  When the trade war first broke out manufacturers mostly tried to ride it out But as it drags on  and shows no signs o
124,Politics,LVMHs Sephora beauty chain to shut US stores for day of diversity training after racial incident involving a Gra  
125,Health_Medical_Pharma,See more about our debut episode which will air Sunday on  and Monday on  Our reporters uncover t  
126,Sports,Factbox Blood and treasure or fantasy  What is the UKUS special relationship    
127,Hospitality_Recreation,Take Five Big themes likely to dominate thinking of investors and traders in the coming week and the  stor  
128,Politics,USbased engineers body lifts curbs on Huawei employees    
129,Health_Medical_Pharma,Why are Yankees players always staring inside their caps Its an oldschool solution for all of the information th  
130,Health_Medical_Pharma,The UAEs ruler became the most powerful in the Arab world by following Americas lead Now he has his own agend  
131,Disaster_Accident,Serena knew she had no chance at French Mouratoglou    
132,Business_Finance,A zipline flight from Paris iconic Eiffel Tower is offering thrillseekers a chance to see the city from above Mo  
