clusterno,topic,tweet
0.0,Human Interest,the eu won the   peace prize
1.0,Technology_Internet,lenovo passes hp to be top pc maker the chinese group has a  share of worldwide shipments of units   
2.0,Technology_Internet,hp lenovo battle for top spot in pc market  computerworld afphp lenovo battle for top spot in pc   
3.0,Technology_Internet,ladys black laptop bag for  inch lenovo g5600679aku notebook  an ekatomi hook  laptop cases   
4.0,Entertainment_Culture,go joe go   barack and i are in this because well never stop fighting for you youll see that tonight joe
6.0,Politics, you know what you never hear anyone say  is the intellectual leader of a movement  
7.0,Hospitality_Recreation, smart never wants you to be left behind thats why we want you to have the next big thing     big thing na yan
8.0,Religion_Belief,  with all due respect thats a bunch of malarkey debates decision2012
9.0,Politics,iran the other side of the sanctions   iranelection
10.0,Law_Crime, report raps iran for systemic rights violations  
11.0,Politics,  to ground troops in iran ia03
12.0,Technology_Internet,shuttle endeavour to roll through la  security  abc news abc newsshuttle endeavour to roll through la amid  
13.0,Hospitality_Recreation,12 miles  days  shuttle We can do this spottheshuttle mission26
