,tweets,clusterID
0,Microsoft Office 2013 Reaches RTM Status http://t.co/btbwNliO,36
1,Office 2013 reaches RTM! http://t.co/XQWJPz5d,36
2,"Microsoft Office 2013 Reaches RTM Status: 

Microsoft Office 2013 has reached the RTM (Release to Manufacturing)... http://t.co/tUA3A3Yd",36
3,"Microsoft Office 2013 Reaches RTM Status: 

Microsoft Office 2013 has reached the RTM (Release to Manufacturing)... http://t.co/QWYnEll3",36
4,Microsoft Office 2013 Reaches RTM Status  http://t.co/R9WwPqUA,36
5,Microsoft Office 2013 Reaches RTM Status Microsoft Office 2013 has reached the RTM (Release to Manufactur #technology http://t.co/6A3w6bYH,36
6,"Microsoft Office 2013 Reaches RTM Status: 

Microsoft Office 2013 has reached the RTM (Rele... http://t.co/4uPHm4aY #techjobs #socialjob",36
7,"#Tech Microsoft Office 2013 Reaches RTM Status: 

Microsoft Office 2013 has reached the RTM (Release to Manufact... http://t.co/kELbStno",36
8,"Microsoft Office 2013 Reaches RTM Status: 

Microsoft Office 2013 has reached the RTM (Release to Manufacturing)... http://t.co/XFPGUP8o",36
9,"Microsoft Office 2013 Reaches RTM Status: 

Microsoft Office 2013 has reached the RTM (Release to Manufacturing)... http://t.co/eP3Hc8hs",36
10,"Microsoft Office 2013 Reaches RTM Status: 

Microsoft Office 2013 has reached the RTM (Release to Manufacturing)... http://t.co/72MZ8R9s",36
11,Microsoft Office 2013 Reaches RTM Status http://t.co/6eXTOb4w,36
12,Microsoft Office 2013 Reaches RTM Status http://t.co/qgU0zAxY #SocialMedia #Business,36
13,Microsoft Office 2013 Reaches RTM Status http://t.co/4nWZx4bK,36
14,Microsoft Office 2013 Reaches RTM Status http://t.co/vLmmyoG3 via @mashable #tech,36
15,Microsoft Office 2013 Reaches RTM Status http://t.co/CJpigV6E,36
16,Microsoft Office 2013 Reaches RTM Status http://t.co/jW3BPxjs #SocialMedia #Business,36
17,Microsoft Office 2013 Reaches RTM Status http://t.co/MZ8JpJAP  RT @mashable,36
18,Microsoft Office 2013 Reaches RTM Status http://t.co/qeIN7KAy,36
19,Office 2013 reaches RTM http://t.co/ns6Tx3KF,36
20,Office 2013 reaches RTM!  http://t.co/9ez0rTD2,36
21,Microsoft Office 2013 Reaches RTM Status http://t.co/bEhvQGSR,36
22,Microsoft Office 2013 Reaches RTM Status http://t.co/enqv3Qp0 via @mashable,36
23,Microsoft Office 2013 Reaches RTM Status http://t.co/rxvWFvEZ,36
24,Microsoft Office 2013 Reaches RTM Status http://t.co/5ONXOE6l,36
25,Office reaches RTM! http://t.co/iQEOP5Sc,36
26,Microsoft Office 2013 Reaches RTM Status http://t.co/4dUaW1lo,36
27,"Microsoft Office 2013 Goes RTM, to Launch in 2013 http://t.co/73xQH8Pl",36
28,Office Reaches RTM! http://t.co/M6zpvZmW,36
29,Office Reaches RTM! http://t.co/NdTgCuv4,36
30,Shuttle Endeavour to Roll Through LA Amid Security - ABC News: ABC NewsShuttle Endeavour to Roll Through LA Amid... http://t.co/GMig8nJa,37
31,"Shuttle Endeavour to roll through LA amid security: At its prime, the space shuttle Endeavour cruised ... http://t.co/mxotltgO #upsctech",37
32,"Shuttle Endeavour to roll through LA amid security: At its prime, the space shuttle Endeavour cruised around the... http://t.co/JZ3cf2sS",37
33,#tech Shuttle Endeavour to Roll Through LA Amid Security - ABC News http://t.co/8Czl7E1h,37
34,"Shuttle Endeavour to roll through LA amid security: At its prime, the space shuttle Endeavour cruised around the... http://t.co/qqsaFZ6c",37
35,Shuttle Endeavour to roll through LA amid security http://t.co/1Vxit5X5,37
36,#world #news UN report finds Iran's crackdown expanding http://t.co/JzVC8G41,37
37,#putMullahsInJail UN Report Finds Iran's Crackdown Expanding - ABC News: UN Report Finds Iran's Crackdown Expand... http://t.co/lE4mJDAK,37
38,#putMullahsInJail Will Iran Weather the Economic Storm? - by Patrick Clawson - Foreign Policy (blog): Will Iran ... http://t.co/RQvepI4m,37
39,#Latham No to ground troops in Iran. #ia03,37
40,Robert Paisola News From space to the LA streets: Shuttle's last trip: Think launching a space s... http://t.co/TiFy3QVw World News Zone,42
41,From space to the LA streets: Shuttle's last trip http://t.co/8Ym9kK5a #business #biznews #businesstechnology,42
42,From space to the LA streets: Shuttle's last trip (The Arizona Republic): Share With Friends:  |  | Top News - S... http://t.co/nd3DP1aN,42
43,So the EU has won the Nobel Peace Prize ... for stopping the catastrophe in former Yugoslavia?,47
44,The EU has won the Nobel Peace Prize! I`m a bit surprised.,47
45,"If increasing intolerance and discrimination against minorities are benchmarks for the Nobel Peace Prize, then the EU deserved to win.",47
46,EU among possible Nobel Prize winners http://t.co/BdazixKj [@EurActiv],47
47,"Nobel Peace Prize Winner Announced Friday: Steve Inskeep has more on the winner of the Nobel Peace Prize, which ... http://t.co/Zw7OB9mc",52
48,"AFPEU awarded Nobel Peace http://t.co/q1Sy9nml... NRK has confirmed,” the state broadcaster announced on Friday ... http://t.co/scqmndi8",52
49,"Nobel Peace Prize about to be announced, live link here - http://t.co/lUmGiag5",52
50,EU to win 2012 Nobel Peace Prize: Norwegian broadcaster - Reuters http://t.co/mvMRFVAR @RichardGEarl,56
51,we'll know in a few minutes...EU to win 2012 Nobel Peace Prize: Norwegian broadcaster http://t.co/F6jOanr4 via @reuters,56
52,EU awarded the Nobel Peace Prize. Thoughts?,56
53,WTF??? EU to win 2012 Nobel Peace Prize: Norwegian broadcaster | Reuters - http://t.co/ZobS38rQ,56
54,The EU [The Nobel Peace Prize 2012] http://t.co/uSk9X3Wf,56
55,EU to win the Nobel Peace Prize. What a joke! :-D,56
56,Norwegian public broadcaster NRK says the EU will win the 2012 Nobel Peace Prize-Reuters Oslo,56
57,Norwegian Public Broadcaster says EU has won the Nobel Peace Prize. Bring on the debate! #controversial,56
58,"EU will win 2012 Nobel Peace Prize, broadcaster NRK says http://t.co/NPL9zzZu #news #india #stock",56
59,Honoured to win Nobel Peace Prize: EU Parliament President http://t.co/S7j95ZdX,56
60,It is not a joke EU has Nobel peace prize! #liberalsareidiots,56
61,EU wins Nobel Peace Prize for uniting continent http://t.co/RypLAgKQ #Stocks,56
62,NRK.no is reporting that the EU will be awarded the #Nobel Peace Prize. http://t.co/KEar1waF,56
63,The EU is going to win a Nobel Peace Prize? What? Je ne comprende pas.,56
64,EU wins Nobel Peace Prize for uniting continent http://t.co/XPJJ1m0j,56
65,Walcott injured? Get big Ryan Shawcross on the wing!,60
66,"Bad news gunners, Walcott injured.",60
67,Walcott got seismic tossed.,60
68,“@Lewdog17: Walcott pulled out so only self to blame!” 🍼,60
69,Chambo! Walcott! #COYG,60
70,Walcott soft twat!,60
71,Good lad Walcott #firstscorerbet,60
72,Walcott out??? No longer interested.,60
73,"Best result for the game - Chamberlain to score 5 goals, Cashley Cole to come on and get a season long injury, Theo walcott to DIE! #England",63
74,Walcott stand up..... No more injury plz,63
75,"awwh not Walcott, he's so adorable! :( #WorldCupQualifier #England",63
76,Walcott subbed Lennon on #England,63
77,"Walcott off, Lennon on. That's like clearing up dog shit &amp; getting another dog to shit in exactly the same place #England",63
78,Walcott got clattered! I don't think he will continue in this game,63
79,If i just put the game on id think somebody had blasted Walcott with a shotgun #GirlPants,63
80,"Walcott; you don't need 4 paramedics and a spinal board.

Get up now

#playrugbyyouwimp",63
81,Walcott and chamberlain starting yeah boy!,63
82,That 1 shot from Oxlade Chamberlain told me he's better than Walcott by like a whole school lifetime #5Years,63
83,"Wow that's terrible,What was Walcott thinking,he should of scored",63
84,Had a bet on Walcott to keep things interesting. Cheers keeps.,63
85,That's why Lennons better than Walcott. Actually has an end product,63
86,Fancied Walcott to score more than 2 goals tonight. Glad I kept my money in my pocket lol,63
87,"Feel sorry for Walcott,he could of got a few goals tonight :(",63
88,Theo Walcott absolutely cleaned out,63
89,Keeps absolutey went thru walcott wow#bringonlennon,63
90,#Walcott &amp; @Alex_OxChambo are starting for #England easy win already......,63
91,How on earth is that not a pen?goalie clatters Walcott. #England,63
92,Can anyone confirm that Theo Walcott is made of glass!?? #breakable,63
93,So walcott can't continue...he is replaced by lennon,63
94,Nowt wrang with Walcott . SOFT AS SHITE . rugby player with ruptured testicle comes to mind,63
95,That's why Lennon should have started so much more to offer than Walcott with deliveries,63
96,fucking shite ! levein out cole or strachan in,63
97,"""@OptaJoe: 2 - Theo Walcott has only completed 90 minutes for England twice - both times against Andorra. Minnows."" Wow that is shocking",71
98,2 - Theo Walcott has only completed 90 minutes for England twice - both times against Andorra. Minnows.,71
99,Poor Walcott getting hurt 10 minutes in,71
100,Walcott gets a start becuz Ashley Young is injured #worstbackupsincedowning,71
101,"Daemn, Walcott injured already.",71
102,Walcott off injured after 9 minutes http://t.co/Nh47bSwB #ArsenalNews,71
103,"Cahill FGS, Walcott FGS, 4-0, 6-0, and lump on England -5.",71
104,Actually lookin forward to watching England play today! Walcott n the Ox should get on the score sheet,71
105,Hw does theo walcott get in the england team?,71
106,Wouldnt be a football match if  Walcott wasnt injured,71
107,Wing wizards Oxlade-Chamberlain and Walcott set to start in pacy England attack,71
108,Thats our bench starting for england. OXC and walcott!,71
109,Good luck to The Ox and Theo Walcott!,71
110,Who wins yankees vs orioles i got the upset taking orioles Nationals vs Cardinals taking Nats,92
111,Cardinals bout to win this game ..,92
112,Maybe if the Cardinals hadn't blown Game 1😠,92
113,"Game 5s for orioles vs yankees, and nationals vs cardinals today. #Orioles #Nationals #MlbPlayoffs",92
114,Any @Wrong_Again for the Cardinals game????,92
115,Cardinals game &gt; studying,92
116,F#$k the Yankees lets go Tigers. I still have my second favorite team so lets go Cardinals beat the Nats,92
117,So both my AL picks are gone. So now LETS GO TIGERS. and CARDINALS.,92
118,OMG! The Cardinals are doing so good  right now! .... What?! So you mean the other team wears red and white clothes to! #Girls,92
119,If yankees and the cardinals both lose tonight it will be the best night ever!!,92
120,Father mad cause cardinals are losing.,92
121,If cardinals lose I will cry!!!!!!!!,92
122,Let's go cardinals #teamredbirds #StLouisTruest,92
123,Go Cardinals! http://t.co/kCMmVpll #GetGlue #2012DivisionSeries,92
124,I never lost faith!! GO CARDINALS!!!,92
125,“@d_kahn: Bye Bye Cardinals!! We are coming for you next year!!! #GOBRAVES #ThisIsWhyWeChop”,92
126,The Cardinals are coming back!! From down 6-0 to 6-5. Wow. #MLBplayoffs,92
127,"Wow!!! Give the Cardinals batting coach a raise! Awesome at bats!
#mlbplayoffs @MLB",92
128,Show me Moundball and go Cardinals! #Moundball,92
129,"So annoying.. ""@DylanLannom: Now the Cardinals fans show up on my TL......smh""",92
130,Now the Cardinals fans show up on my TL......smh,92
131,Wouldn't it be hilarious if the Cardinals lost #yes,92
132,This Cardinals team is amazing,92
133,The Cardinals are too fucking good in the post season..,92
134,Let's go Cardinals!! They were down 0-6 and now 5-6. Rooting for them bc it's @da_kyky's wedding day!!! #CongratsandGL,92
135,Holy smokes. The cardinals are going to do it again,92
136,Damn I Wish The Cardinals Was Going 2 The WorldSeries !~*,92
137,But the cardinals and Seahawks have to lose,92
138,Nats! (Sorry @ermlabrat ) “@Fathead: Who do you want to see play the Giants in the NLCS? #Nationals #Cardinals  http://t.co/flJBnc0x”,92
139,i hope #nats take this I'm serious #cardinals v #nationals,92
140,#Cardinals about to take over.....watch breh,92
141,"""@andmybitchbad: The cardinals are straight fucking blowing it""",92
142,Cardinals will win 7-6. I'm not worried.,92
143,Damn cardinals are getting whooped,92
