clusterno,tweetd
13,256683670897831938
13,256683280613662720
13,256683712513716225
13,256683846932766720
13,256688515016966144
13,256692180767350784
13,256683729634861056
13,256686027819872256
13,256688762577383424
13,256684857520955392
13,256683981267947520
13,256684694249291776
13,256686195487170560
13,256691224700940288
13,256690738065207297
13,256690671207997441
13,256686187354390530
13,256687386757578753
13,256683171389775872
13,256651659957129216
13,256683494363787264
13,256683263748358146
13,256683263953891328
13,256685206013091840
13,256655749067984896
13,256641350261424128
13,256667300181188608
13,256649109488930818
13,256669703672573952
13,256637336111173632
13,256684513697095680
15,256670525902950400
15,256675613404979200
15,256663009777311745
15,256523125305511937
15,256519946174087169
16,256662946523017216
16,256664611732996096
16,256671394119700481
20,256853606974767104
20,256853703582179329
20,256861777604771841
20,256822007252004864
20,256855288865497088
20,256854953698656256
20,256859693211852800
20,256859013424246785
20,256858019567108096
20,256861752556404737
20,256855758820487168
20,256857688082878464
22,256855712725090304
22,256854894798061568
22,256858795676925954
22,256855251469078531
22,256857574937350144
22,256855809206657024
22,256856488558080000
22,256857092424601601
22,256855222046040066
22,256854861436559360
22,256857276957224960
22,256854827500453888
22,256856329069670400
22,256861097972359169
22,256857885269696512
22,256857612522504192
22,256855834427011072
22,256855205138800640
22,256861245108543488
22,256856337651212288
22,256854542300352512
22,256822023983091712
22,256826348528623616
22,256819163392262145
22,256856673208127488
22,256856014563987458
22,256854630414307329
22,256855347627692032
22,256855808971771904
22,256856631340568576
22,256856643676041216
22,256809420099551232
22,256854911420076032
22,256856643894145024
22,256853670052917249
22,256856207627788288
22,256856773808492544
22,256855297417674752
22,256855058203942913
22,256854672629977088
22,256856282970091520
22,256854659984146432
22,256860464905072642
22,256860330527952896
22,256857922863251457
23,256848142115414017
23,256960985657647104
23,256972134021210114
23,256915447901982720
23,256910561508474880
23,256955268821315584
23,256971525884874753
23,256971370506903552
23,256972012134744065
23,256864415675203584
23,256932221015977984
23,256945303142400000
23,256932233628237824
23,256935098442727424
23,256941540772024320
23,256968342177452033
23,256966522117963776
23,256971274226638848
23,256972318432165888
25,256922150496260096
25,256921080848060416
25,256920653171666944
25,256931155708878848
25,256932036567257088
25,256961946132303872
25,256967721596620801
25,256972398182690818
25,256920409893654528
25,256920795509571584
25,256920271313833985
25,256914743506399232
25,256915196470251520
25,256901619491434496
25,256916563448451072
25,256914713856851968
25,256920825003925504
25,256927376540307456
25,256900209848754176
25,256912604331667456
25,256956187344502784
25,256914319671980032
32,257019550753775616
32,257019923795148800
32,257020318198161408
32,257019773026709504
32,257019944670199809
32,257020041265020928
32,257019781314658304
32,257024508316241920
32,257019793666895872
32,257023656792846336
32,257023631559905280
32,257023627302690817
32,257020284580814848
32,257020108235481088
