clusterno,tweetd
36,256683494363787264
36,256669703672573952
36,256683670897831938
36,256683846932766720
36,256688515016966144
36,256692180767350784
36,256683729634861056
36,256686027819872256
36,256688762577383424
36,256684857520955392
36,256683981267947520
36,256684694249291776
36,256686195487170560
36,256691224700940288
36,256690738065207297
36,256690671207997441
36,256686187354390530
36,256687386757578753
36,256683171389775872
36,256649109488930818
36,256651659957129216
36,256683280613662720
36,256683712513716225
36,256683263748358146
36,256683263953891328
36,256637336111173632
36,256685206013091840
36,256655749067984896
36,256641350261424128
36,256667300181188608
37,256670525902950400
37,256668453602222080
37,256672262260940801
37,256675613404979200
37,256672941499092992
37,256663009777311745
37,256523125305511937
37,256519946174087169
37,256543476164988928
37,256555354429730816
42,256662946523017216
42,256664611732996096
42,256671394119700481
47,256677052265148417
47,256684824012668930
47,256686157759397888
47,256679002582945792
52,256679207868960769
52,256684392003555328
52,256676687058710528
56,256681108136161280
56,256678679516696576
56,256682122885079042
56,256680113914130432
56,256681296762376192
56,256681602850103296
56,256675395217276929
56,256671247130304512
56,256671620503048192
56,256689937083154432
56,256682592923955200
56,256690499115696128
56,256669867174924288
56,256671935084253184
56,256688665974157312
60,256833495509389313
60,256833566661550081
60,256833269159583744
60,256833449430753280
60,256832765541109760
60,256834456004997121
60,256833956828311553
60,256834795508752385
63,256831486269988864
63,256833504028020736
63,256833860271222784
63,256834640411783168
63,256834829331619840
63,256833440924696576
63,256834720229388288
63,256834124772429824
63,256816881674104832
63,256832778384068608
63,256833487057874945
63,256833466069569536
63,256841426703368193
63,256833482876153856
63,256834829390340098
63,256833508205539329
63,256833529206431744
63,256831821910781953
63,256833273269997568
63,256834694899974144
63,256834539832369153
63,256834548300668929
63,256841502544785408
63,256856094159286272
71,256835122823827456
71,256833923106091008
71,256846661387706370
71,256803493644496896
71,256833491055038465
71,256843188441083905
71,256825798886043648
71,256810183399989249
71,256830945309630464
71,256833507911929856
71,256829678428512256
71,256817112633466880
71,256831507266695169
92,256851254142193667
92,256971014238502912
92,256967029549051904
92,256848142115414017
92,256915447901982720
92,256910561508474880
92,256907885794177025
92,256916337077661696
92,256934502545387520
92,256864415675203584
92,256932221015977984
92,256945303142400000
92,256873249131069442
92,256928240390774785
92,256971395764998145
92,256932795606237184
92,256960985657647104
92,256971370506903552
92,256863786647052290
92,256972641527816192
92,256972431741308928
92,256874947555766274
92,256971299400843265
92,256972163473620992
92,256962235287617536
92,256972012432547840
92,260584826497794048
92,256825413089775617
92,256900209848754176
92,256901208361537536
92,256928395961700353
92,256929943387254784
92,256932099477614593
92,256931914647224321
92,256912604331667456
92,256927376540307456
92,256920779009167360
92,256920233728675840
92,256932082603929600
92,256918522528149505
92,256945705736863744
92,256933541974253568
92,256973199332478976
92,256955268821315584
92,256973618838401027
92,256944636256473088
92,256943008832958465
92,256940144123326464
92,256933152025628672
92,256935098442727424
92,256932871019823104
92,256933806626439169
92,256967847249604608
92,256956128498429953
92,256956187344502784
92,256932233628237824
92,256941540772024320
92,256946422753144832
92,256933835571331072
92,256952374780891136
92,256941402213191680
92,256955687907766274
92,256950965356355584
92,256958171187384320
92,256965423050936320
92,256941771332919296
92,256968342177452033
92,256961031803392000
92,256971123009417218
92,256972033127223298
92,256966522117963776
92,256963950938320896
92,256970984844836864
92,256971307625873408
92,256972016501018624
92,256971563595862016
92,256971953569685504
92,256971525884874753
92,256972012134744065
92,256971278232215552
92,256971328555470848
92,256971400164814848
92,256971274226638848
92,256972364682768384
92,256972272387117057
92,256972721047625728
92,256972318432165888
92,256972121316663296
92,256972075078664192
92,256920653251350529
92,256921202466119680
92,256968635967492096
102,256853871278833664
102,256842538206519298
102,256972088022286336
102,256973300083863553
104,256932090875088896
104,256972150664204288
104,256974411352121344
104,256972008221466625
104,256972167659548673
104,256972435822374913
104,256973148904374273
105,256876977955430401
105,256915619897806848
105,256917297590071297
105,256933604922368001
105,256914743506399232
105,256915196470251520
105,256901619491434496
105,256916563448451072
105,256914713856851968
105,256961946132303872
105,256967721596620801
105,256920653171666944
105,256900742865104896
105,256930543155953664
105,256920703381684226
105,256920774810681344
105,256931155708878848
105,256932036567257088
105,256921462668132352
105,256944711468724224
105,256942803056201728
105,256925623514193920
105,256956707257860096
105,256971685050327041
105,256932074185969664
105,256920502101225472
105,256947274339479552
105,256906090481082368
105,256970992944050176
105,256971873840156672
105,256971882379755520
105,256971651529453568
105,256972121337655296
105,256945969701195776
105,256972658137235456
105,256920695177633792
105,256922150496260096
105,256920825003925504
105,256921080848060416
105,256914319671980032
105,256920409893654528
105,256920795509571584
105,256974789091131393
105,256975057589514240
105,256975741101690881
105,256921051416641537
105,256975535715000320
105,256975883527671808
105,256823533773152257
105,256932111754338304
105,256931969148018688
105,256911622629621760
105,256914709960347648
105,256918694414929921
105,256912763685847040
105,256933219159654400
105,256972280742158336
105,256947412655013888
105,256971995391082496
105,256954358573432832
105,256908976283860992
105,256972134021210114
105,256972536812822528
105,256907273216077825
105,256956845783150592
105,256934943211548672
105,256932871116296192
105,256968237567324160
105,256961103073001472
105,256971072921030656
105,256971173307482112
105,256932485215162368
105,256971207084224512
105,256969973946265600
105,256961715139399680
105,256971013965873153
105,256972968654151681
105,256973421630611456
105,256971940915453952
105,256971303402209281
105,256972033102057473
105,256971513218101250
105,256971236423393281
105,256971760879144961
105,256971362294431744
105,256961161570971648
105,256971353767415808
105,256971521594109952
105,256971286767620096
105,256972398174294016
105,256972066966888449
105,256972242951479298
105,256972423310766080
105,256914260892979202
105,256914290425069568
105,256902667698311168
105,256973467872813056
105,256907583611359232
105,256973677298610178
105,256973635636572161
105,256909387367596032
105,256913632003252225
105,256973744571023360
105,256919017418268672
105,256908468521426944
105,256920371893248000
105,256915158419525633
105,256921135491469313
105,256920581721702401
105,256910108771098624
105,256924654286032896
105,256915712386400256
105,256959563826335745
105,256972079579156480
105,256972360282939392
105,256542108956102656
105,256944694918008835
105,256923312234577920
105,256913736533680129
105,256916341183897601
105,256920271313833985
105,256973581156761600
105,256971198683049985
105,256970494178365441
105,256973014862794752
105,256971236482113536
105,256974763606544384
105,256972490394460160
105,256971341125779456
105,256970712261226496
105,256971534311239680
105,256972570157518848
105,256973014774714368
105,256974713270714368
105,256972184147353600
105,256981613240524800
105,256972897472614401
105,256973350197407745
105,256971278316085249
105,256972091914612739
105,256973484423532544
105,256967130044583938
105,256972029188796416
105,256972347750354944
