clusterno,tweetd
1,1111641803080511488
2,1111639849394753536
3,1111312786703958016
4,1111022214101585920
5,1110958427692564481
6,1110304784840564737
7,1108871979828948992
8,1108861179806527488
9,1108470618465419264
10,1108403869904760833
11,1108257496534261760
12,1106259752248635398
13,1106262149930934277
14,1105927405586341891
15,1105922615481384961
16,1105556167688892426
17,1105555569392402432
18,1105549751884365824
19,1105428650202140672
20,1105427416468652033
21,1104053342244925441
22,1108866722105384960
23,1101061086990815232
24,1100092544480935941
25,1106253253992464385
26,1100373682600460288
27,1096496410646794241
28,1090352966413021184
29,1090349697884213248
30,1090346048168624132
31,1096103055219716098
32,1090338115976396800
33,1090233065992085506
34,1085620018417750022
35,1085260422935207937
36,1082713162296766466
37,1085617179725348864
38,1085263788490833920
39,1073196545183543296
40,1100028674013872128
41,1091351871749570566
42,1072969994978385921
43,1072962559677005832
44,1072959907958276096
45,1072777743849275392
46,1092355124385730560
47,1088173364886364172
48,1072776760297746432
49,1072767288175198209
50,1072758722315862021
51,1072158066077036544
52,1072156454218534913
53,1072153439826796544
54,1072040628345847808
55,1070000496587358208
56,1069705867631714304
57,1068891519015358471
58,1070755315103211520
59,1070001166464049152
60,1065587266846957568
61,1066627350538973185
62,1065553921404530688
63,1063009807190364160
64,1065586232095399936
65,1063122967931052032
66,1062789119498162176
67,1067822377667633153
68,1067747258161119233
69,1057965932902002688
70,1111893338792386560
71,1111640299049287681
72,1111572726597206016
73,1111289375348924417
74,1111255126742917120
75,1110963969735430144
76,1062383821016961024
77,1110959694456258560
78,1112706321474818048
79,1063463262019293185
80,1112547750577606656
81,1112544067882307585
82,1056932241132052481
83,1112471179745509377
84,1112446898504433665
85,1112595830987542529
86,1112415884394541058
87,1112409185902309377
88,1112387995318005760
89,1112377999368880128
90,1112370620543700994
91,1112672551216603139
92,1112420787326275589
93,1112367840710049792
94,1112359079106756608
95,1112347728410001410
96,1112333836178870277
97,1112330187402870784
98,1112310164642844673
99,1112286147282198531
100,1112361437660356609
101,1112219698530320384
102,1112211882390286341
103,1112179248637374464
104,1112176667991199744
105,1112171514911211520
106,1112165357702316032
107,1112160184053493760
108,1112156674331152385
109,1112280989512937472
110,1112189420864712704
111,1112131377636536326
112,1112138968664104962
113,1112129994946428929
114,1112120057512017920
115,1062973624074813440
116,1111017594423775238
117,1112629991781658626
118,1112646253295357952
119,1111962432744968193
120,1111797002457759744
121,1112366438440992775
122,1112527602550558720
123,1111689920102436866
124,1105229452215283714
125,1111022283924099072
126,1110862351908200448
127,1112321222929465346
128,1110958537532997637
129,1110778260143722496
130,1111616289729064960
131,1111213307887869952
132,1110608064233771009
133,1110561305449119744
134,1110205377239572480
135,1110185571719225344
136,1109834310327123968
137,1109562964171018240
138,1109137373449854977
139,1109050036535676928
140,1108871996253843465
141,1108713211971416066
142,1109833958013964290
143,1108861365303865346
144,1111641750756642816
145,1108708758551695360
146,1108661199091261440
147,1106260262410223621
148,1112303623571161088
149,1112296086322982912
150,1102735386302967808
151,1091269700301000704
152,1059010603996626944
153,1085262413908377600
154,1105923545429889028
155,1105549857262133249
156,1085260710932824069
157,1110965013001453568
158,1085617877221343233
159,1085260087277637632
160,1110562107202945025
161,1072959493527494656
162,1072153754391203841
163,1088144968189923330
164,1072900290704261127
165,1071163453920985098
166,1108872071222718466
167,1062788951528869888
168,1111848550315577345
169,1109025453828984832
170,1108953737685430272
171,1111764794066026496
172,1088231371926065152
173,1087856775418789888
174,1111664844606967809
175,1062719153956474880
176,1056950690285674496
177,1111616732672770048
178,1112080932087963648
179,1112022070714662912
180,1111467778739974145
181,1095376483785297920
182,1112699154512396288
183,1112682028842012672
184,1111641116905009152
185,1111795425470615552
186,1111641598671142913
187,1108741163220197377
188,1111870707846266881
189,1111557114000924672
190,1110536962472116225
191,1111463510616301568
192,1112681458588680192
193,1112578839463583745
194,1112571787601162240
195,1112393979730059265
196,1111258152018853888
197,1111616745326940160
198,1112337171762032640
199,1112358673559552009
200,1112335299760308224
201,1112277083357622272
202,1112679946286186501
203,1112656661821485056
204,1112016373071470592
205,1112586386350190592
206,1112273674340577280
207,1111931845548101632
208,1112656168583860225
209,1111913998071595013
210,1111908420796334081
211,1111856094165508096
212,1111366606989467648
213,1111738655108935682
214,1111733606576205832
215,1111700802261917696
216,1111686607193755648
217,1111668111772737537
218,1111654437565677568
219,1111643038558896130
220,1111703913449902080
221,1111643712310915072
222,1111642991607844864
223,1111651481810288647
224,1111644842638086144
225,1111641440675905537
226,1112268233896284160
227,1111641334400589825
228,1111640259866095616
229,1111924132827009024
230,1111688562423013376
231,1111639949714034688
232,1111637136657313794
233,1111636124743712769
234,1111634095614906375
235,1111813958602772480
236,1111630005686149120
237,1111624776974508033
238,1111633092614201344
239,1111545802202202112
240,1111542594692100097
241,1111647992182906880
242,1111647159932383236
243,1111541181442338817
244,1111572914560790528
245,1111571674728669184
246,1111523604561313792
247,1111728662292901889
248,1111521121067810816
249,1111446258953027591
250,1088106237223493637
251,1111994479685353473
252,1111396385990033410
253,1111371566166630400
254,1111366887894593536
255,1111351555574427650
256,1111592823101497345
257,1111456331762941953
258,1111323751302512645
259,1111331187438637056
260,1111328518380634112
261,1111316419516514307
262,1111389095807193088
263,1111329393853562880
264,1112636366075187201
265,1111194983216959488
266,1111032924785336321
267,1112579244067119106
268,1111438034782715904
269,1112606841735917568
270,1112449509349568514
271,1112576991620939776
272,1112497331822362625
273,1112384089280208897
274,1111610291148734466
275,1112623906710609921
276,1112263537227976704
277,1111389334878347266
278,1111349934392070145
279,1112134675265392640
280,1112105748102819841
281,1112013134829637632
282,1111987449029382145
283,1111465773938212865
284,1111811143675363334
285,1111805264599109632
286,1112255969311027200
287,1112060185965748224
288,1111695787107536901
289,1112088133426909184
290,1111825656218902529
291,1111693262643965952
292,1111720951782232066
293,1111707743298170880
294,1111642159344693248
295,1111670638895341568
296,1111649236347695115
297,1111464422629871616
298,1112300273509326848
299,1112031255175090177
300,1111362351624843264
301,1109008304108462080
302,1111720851219644418
303,1112632987538083840
304,1111153713010434050
305,1111333335756873733
306,1112197262694903808
307,1111640099471675399
308,1111662417061265408
309,1110833236668833794
310,1110989791812825089
311,1110791432200179714
312,1110764544652165120
313,1112567707008929793
314,1112407997412708352
315,1110495066219524097
316,1111559249962942466
317,1110522327886954498
318,1110417631163617281
319,1072535262566252544
320,1110929797293711360
321,1110167725664546817
322,1111103358797078528
323,1110181906413428736
324,1110109064690843649
325,1110127997489684480
326,1110127834461282304
327,1110043371651903488
328,1111189200567787520
329,1110098629308616706
330,1109729274494373889
331,1109382286716403712
332,1109320732432056320
333,1109168181019582465
334,1072208530101424135
335,1111006254552571904
336,1111320390809407489
337,1112030687551467526
338,1112015367692533760
339,396665177191350272
340,1109064952638246913
341,1108789764977815552
342,1103013392493830144
343,1075880592577871873
344,1078008214011211778
345,1060378376022753280
346,1112122736388833281
347,1111672610545455105
348,1111982703002427394
349,1111726138311757824
350,1112508387009462273
351,1111432856889249793
352,1111765030104633344
353,1111639405314363392
354,1111408838748434433
355,1111392536189235200
356,1111354787474403329
357,1111343268174942208
358,1111660358329139202
359,1110321997102362626
360,1111476583884312577
361,1111006411713114118
362,1109709806057803776
363,1110597732434100224
364,1110197750707175426
365,1109319373033033729
366,1109042249902501888
367,1072900722960801795
368,1071161335998808065
369,1056316389194166275
370,1095102144561205249
371,1112682291648753664
372,1112557728348684289
373,1112705105348968449
374,1112642519123353600
375,1112542876632797185
376,1112371575800688641
377,1112360384999100416
378,1112342685925498881
379,1095375830686093312
380,1111671639438249984
381,1095377822741393409
382,1107700484041773058
383,1107645192344166400
384,1107590162182299650
385,1107696521603104769
386,1107645500805824512
387,1107618771487862784
388,1108583403299971074
389,1107607089378181123
390,1107600544972066817
391,1107595647941791744
392,1107592963826352134
393,1108551973152927744
394,1107497692396175360
395,1106443493508042753
396,1106367812615004160
397,1071925978010710016
398,1071619304486043649
399,1111187431469002752
400,1112167749994856448
401,1112109850006380555
402,1112101188290441219
403,1112049449591865345
404,1111398166341926912
405,1111289217563414528
406,1111055610148212738
407,1110952464977707008
408,1108774121226276865
409,1108562909490229248
410,1107025660961308672
411,1109130783728402439
412,1106443942327975936
413,1106394250667806721
414,1106392758317707265
415,1106391853983772672
416,1106388299634098176
417,1060836072106672128
418,1108748568335126530
419,1106372344489099264
420,1106370896971866112
421,1106367341607178240
422,1106365490887356418
423,1110967492934070272
424,1110952386682671104
425,1112216174702587904
426,1111488163426516992
427,1112685627517095937
428,1111555891361398784
429,1111541660012425217
430,1111540993545908224
431,1111478241305522176
432,1111901143511298048
433,1111870943327072256
434,1111797720694603776
435,1111787650309070851
436,1111705043995185152
437,1111448158431862786
438,1111427786323824640
439,1110028033895866368
440,1109343875209089024
441,1112567470521532416
442,1111244715549171712
443,1110963990820253698
444,1110759655704313856
445,1110059207284441088
446,1108821105131880449
447,1105921311346438144
448,1105911124493504512
449,1105909268203606016
450,1105901344999817216
451,1105463068815958016
452,1109334885582417920
453,1108794250840428544
454,1108776362305904643
455,1103724380683730944
456,1110233163715043330
457,1109081894946328577
458,1109005456276627456
459,1101154007974887424
460,1108794295551709184
461,1108776812010762247
462,1110210513752023040
463,1101191026235052033
464,1110748174497525760
465,1110884858652442626
466,1110798357625274368
467,1110757793995390976
468,1110794270624178176
469,1109343748436185088
470,1104100948849410049
471,1103700547943698433
472,1111172018785959936
473,1110694265678630912
474,1110497498098003971
475,1109383258976985088
476,1109366511326638081
477,1081897450200354816
478,1107936461154893825
479,1105728914348011520
480,1103680229107740674
481,1102975477961113600
482,1101428619182817281
483,1101425379733057536
484,1082708152334929921
485,1082705777490608128
486,1082695459804725248
487,1070892968297590784
488,1070604284235014144
489,1070288073055969280
490,1111654048132943873
491,1111180935146409984
492,1101512346390781954
493,1101510650361192449
494,1101083635061612544
495,1100645790605889536
496,1100285842764038144
497,1057492578046754821
498,1112630864251359233
499,1112567848658972674
500,1111114951953920000
501,1101512968494346240
502,1101079374453981184
503,1100723963259506688
504,1108933217787142145
505,1112650811656409088
506,1112432624558096384
507,1110504670034870273
508,1112330909045440512
509,1111571472089313280
510,1112609064641540097
511,1112004272391180289
512,1111536314808262656
513,1112251514872102912
514,1111530408804605953
515,1111477193929093121
516,1111259393214029825
517,1111127465324408832
518,1110951169235603456
519,1111288555383541763
520,1111167478066016256
521,1110853486470709249
522,1110458644980731904
523,1110129449641627648
524,1110127316796170240
525,1111842672900227073
526,1111667791936000006
527,1110441293346418688
528,1109674300783644672
529,1110438687706353664
530,1109029297669488641
531,1109000862435893249
532,1101184966887649286
533,1101010058060726273
534,1109186374639460352
535,1109001434912169984
536,1101026983176273920
537,1101509100297486336
538,1100937724771647489
539,1100204422062358528
540,1093088453141630981
541,1092985358772568064
542,1088885936581238784
543,1097664275936616449
544,1088882524967841793
545,1088298911712923654
546,1086346943406723073
547,1080743824689950720
548,1076883153120362496
549,1108909803512975361
550,1080682485003010048
551,1071127867151532034
552,1101023936177938438
553,1101014446091177989
554,1101010259022241792
555,1100720717480497153
556,1100716709713977344
557,1100395931168583681
558,1092983424791515136
559,1086346579378876416
560,1086310689218744322
561,1086045767050117120
562,1069690990368382976
563,1069640529237938177
564,1069620518683328513
565,1068747223922606080
566,1068744042182320133
567,1068908345057263616
568,1068733461064761344
569,1068730583847706624
