clusterno,topic,tweet
1,No topic found,UK MPs reject PM Theresa Mays EU withdrawal agreement by  votes to  throwing Brexit plans into further dou  
2,Politics,Commons vote on EU withdrawal agreement planned for Friday in fresh bid to break Brexit deadlock  
3,No topic found,Brexit deadlock None of UK MPs proposed options secures clear backing in Commons vote  
4,Politics,Theresa May tells Conservative MPs she will not remain as UK PM for the next phase of Brexit negotiationsrrnrrnLive up  
5,Social Issues,UK MPs vote to take control of Commons business in unprecedented move to try to find majority for any Brexit option  
6,Politics,RT BBCNews BBCBreaking I do not believe that we should be revoking Article rrnrrnUK PM Theresa May speaking after the EU agrees a plan t
7,No topic found,EU agrees Brexit delay until  May if MPs approve withdrawal deal next week or  April if they do not  
8,Politics,Theresa May tells the British public Im on your side and its high time MPs made a decision over Brexit  
9,Politics,Short extension to Brexit possible if MPs approve UK PM Theresa Mays deal next week  EUs Donald Tusk says  
10,Politics,Theresa May wont be asking for long extension to Brexit in letter to EU says No   
11,No topic found,UK MPs vote by  to  to ask the EU for Brexit to be delayed beyond  MarchrrnrrnFollow live updates  
12,No topic found,A public vote would be a realistic option to break the deadlock says Labour leader Jeremy Corbyn as UK MPs vote  
13,Politics,Labour leader Jeremy Corbyn says Parliament must now take control of the Brexit process after UK MPs vote to re  
14,Politics,UK PM Theresa May says Brexit options are the same as they always have been warning no Brexit at all would da  
15,Technology_Internet,Labours Jeremy Corbyn says UK PMs Brexit deal is clearly dead saying Theresa May has run down the clock and  
16,No topic found,UK PM Theresa May says MPs now face an unenviable choice of what to do next stressing that voting against the d  
17,Politics,UK MPs vote against Theresa Mays revised EU withdrawal deal by  to  throwing Brexit plans into confusion  
18,Politics,Attorney General Geoffrey Cox says legal risk remains unchanged in updated Brexit deal and UK would have no lega  
19,Law_Crime,Attorney general says changes in EU withdrawal deal reduces risk of UK being indefinitely held in the backstop  
20,No topic found,Mother  jailed for  years after becoming first person in UK to be convicted of female genital mutilation  
21,Law_Crime,European Council President Donald Tusk tells media that EU leaders agree to delay the Brexit processrrnrrn  May if  
22,No topic found,Net migration from EU to the UK drops to year low  Office of National Statisticsrrnrrnhttps 
23,Social Issues,Labour says it is prepared to back another EU referendum to prevent a damaging Tory Brexit rrnrrnhttps 
24,Politics,RT BBCPolitics MPs reject amendment to take control of Brexit process and force a series of indicative votes on the way forward by 
25,Politics,UK PM Theresa May to propose Commons votes on nodeal Brexit and Brexit delay if MPs reject her plan next month  
26,Politics,Family of teenager Shamima Begum  who fled to join IS  call for UK government to bring her back urgently  
27,Politics,Labour leader Jeremy Corbyn says he will meet UK PM Theresa May to discuss his partys approach to the  
28,Politics,UK MPs back Theresa Mays bid to change Brexit deal by requiring alternatives to Irish border backstop plan  
29,Business_Finance,UK MPs back alternative move to stop nodeal Brexit in nonbinding vote WithdrawalAgreement  
30,Politics,PM Theresa May suffers a fresh defeat in Commons vote on her Brexit strategy by  to   
31,Politics,MPs reject plan aimed at preventing nodeal Brexit if Theresa May cannot get her deal through House of Commons  
32,Politics,PM Theresa May to ask EU to reopen withdrawal agreement she tells cabinet  
33,No topic found,UK PM Theresa May invites leaders of other parties to meet with her to discuss Brexit starting tonight after gov  
34,No topic found,UK PM Theresa May loses MPs BrexitVote on her deal by  votes to   the biggest government defeat since   
35,Politics,MPs defeat UK government and back measures designed to thwart nodeal Brexit preparations  
36,Politics,Theresa Mays government survives a no confidence vote by  to   but has yet to get MPs to back a Brexit plan  
37,Politics,Labour leader Jeremy Corbyn tables no confidence motion in Theresa Mays government after BrexitVote defeatrrnrrnhttps 
38,Politics,RT BBCPolitics UK PM Theresa May confirms she will not fight another General Election saying she would love to be able to but her part
39,Politics,UK has warmest February day on record with temperatures hitting C in Wales  
40,Weather,Mother of threeyearold girl becomes first person in UK to be found guilty of female genital mutilation  
41,Law_Crime,UK Prime Minister Theresa May says she will get on with the job of delivering Brexit after surviving a  
42,Politics,The parliamentary party does have confidence in Theresa MayrrnrrnChairman of  Committee Sir Graham Brady says PM  
43,Politics,UK PM Theresa May wins confidence vote with  out of  Tory MPs supporting her to stay on as leader  
44,Politics,I will contest that vote with everything Ive got  UK Prime Minister Theresa May says she will stand ready to f  
45,Politics,UK Spain and France among European countries now recognising Juan Guaido as the interim president of Venezuelarrnrrnhttps 
46,Politics,Venezuela gives all US diplomats  hours to leave after Trump recognises opposition as legitimate leaders rrnrrnhttps 
47,Religion_Belief,UK Prime Minister Theresa May tells MPs that ousting her as Tory leader would mean delaying or risking Brexit  
48,Politics,Conservative MPs to vote on UK PM Theresa Mays leadership rrn Vote to take place between pm GMTrrn May due to m  
49,Politics,UK Prime Minister Theresa May will face a vote of no confidence in her leadership later on Wednesday  
50,Politics,Our country deserves better than this  Labour leader Jeremy Corbyn attacks Theresa Mays Brexit deal after vot  
