EventID	Description	Category
20000	"Syrian military airstrikes murder"	"Armed conflicts and attacks"
20000	"Syrian fighter,Syrian regime warplane strikes ,Maaret al-Numan"	"Armed conflicts and attacks"
20000	"Syrian military airstrikes killed 40 maaret al numan"	"Armed conflicts and attacks"
20000	"Syrian military airstrikes"	"Armed conflicts and attacks"
20000	"Syrian military airstrikes kill at least 40 people, including civilians"	"Armed conflicts and attacks"
20000	"Syrian military airstrikes kills 40 people"	"Armed conflicts and attacks"
20000	"Syrian airstikes Maaret al-Numan"	"Armed conflicts and attacks"
20000	"Seized by Rebels, Town Is Crushed by Syrian Forces"	"Armed conflicts and attacks"
20000	"Syrian military airstrikes kill at least 40 people"	"Armed conflicts and attacks"
20000	"Syrian military airstrikes kill at least 40 people, including civilians, in the rebel-held "	"Armed conflicts and attacks"
20000	"Syrian military airstrikes kill at least 40 people"	"Armed conflicts and attacks"
20000	"how many peoples killed  in Syrian military airstrikes"	"Armed conflicts and attacks"
20000	"Maaret al-Numan in Idlib governorate."	"Armed conflicts and attacks"
20000	"Airstrikes in northern Syria kill 40 "	"Armed conflicts and attacks"
20000	"syria airstrike civilian deaths rebel maaret"	"Armed conflicts and attacks"
20000	"Syrian military airstrikes kill at least 40 people"	"Armed conflicts and attacks"
20000	"Syrian military kills 40 rebel held town maaret numan"	"Armed conflicts and attacks"
20000	"Syrian military airstrikes kill at least 40 people."	"Armed conflicts and attacks"
20000	"Syrian military airstrikes kill at least 40 people, including civilians"	"Armed conflicts and attacks"
20000	"maaret al-numan bombing"	"Armed conflicts and attacks"
20001	"film called South of Sanity"	"Arts and culture"
20001	"A fictional feature film, called South of Sanity, is shot in Antarctica for the first time. "	"Arts and culture"
20001	"News - Scot shoots first fictional feature in Antarctica "	"Arts and culture"
20002	"Slyvia Kristel dies"	"Arts and culture"
20002	"Dutch actress Sylvia Kristel."	"Arts and culture"
20002	"Sylvia Kristel dies"	"Arts and culture"
20002	"sylvia kristel's death"	"Arts and culture"
20002	"Dutch actress Sylvia Kristel - the first star of adult cinema - dies"	"Arts and culture"
20002	"Dutch actress Sylvia Kristel."	"Arts and culture"
20002	"Sylvia Kristel dies"	"Arts and culture"
20002	" the first star of adult cinema - dies."	"Arts and culture"
20002	"adult film actress sylvia kristel"	"Arts and culture"
20002	"Sylvia Kristel - the first star of adult cinema - dies. "	"Arts and culture"
20002	"Sylvia Kristel - the first star of adult cinema - dies."	"Arts and culture"
20002	" the first star of adult cinema - dies."	"Arts and culture"
20002	"Sylvia Kristel - the first star of adult cinema - dies. "	"Arts and culture"
20002	"the first star of adult cinema"	"Arts and culture"
20002	"When was born Dutch actress Sylvia Kristel ?"	"Arts and culture"
20002	"Dutch actress Sylvia Kristel dies"	"Arts and culture"
20002	"Sylvia Kristel dies"	"Arts and culture"
20002	"actress Sylvia Kristel - the first star of adult cinema - dies. "	"Arts and culture"
20002	"Sylvia Kristel dead, Emmanuelle"	"Arts and culture"
20002	"IN WHICH YEAR DUTCH ACTRESSDutch actress Sylvia Kristel  FRENCH FILM Emmanuelle was released ?"	"Arts and culture"
20002	"Sylvia Kristel,the first star of adult cinema - dies"	"Arts and culture"
20002	"Sylvia Kristel's death"	"Arts and culture"
20002	"Dutch actress Sylvia Kristel."	"Arts and culture"
20002	"Sylvia Kristel - the first star of adult cinema - dies. "	"Arts and culture"
20002	"Dutch actress Sylvia Kristel"	"Arts and culture"
20002	"Dutch actress Sylvia Kristel."	"Arts and culture"
20002	"Dutch actress Sylvia Kristel "	"Arts and culture"
20002	"Sylvia Kristel dies"	"Arts and culture"
20002	"Dutch actress Sylvia Kristel"	"Arts and culture"
